,q22,age,gender,q3,q4,q6,q7,q8,q9,q10,q14,q20,q21,q24,q32,q34,q35,q39,q41,continente
0,0,14.25,14.25,14.25,14.25,14.25,12.73,12.73,12.73,12.73,12.73,14.25,14.25,13.65,5.74,5.74,1.0,5.48,11.17,13.39
1,1-2,22.69,22.69,22.69,22.69,22.69,21.38,21.38,21.38,21.38,21.38,22.69,22.69,21.82,12.52,12.43,4.17,12.17,18.51,20.6
2,10-14,6.3,6.3,6.3,6.3,6.3,6.04,6.04,6.04,6.04,6.04,6.3,6.3,6.04,4.04,4.0,1.65,3.95,5.17,5.87
3,15-19,2.13,2.13,2.13,2.13,2.13,2.0,2.0,2.0,2.0,2.0,2.13,2.13,2.04,1.43,1.43,0.61,1.39,1.96,2.09
4,20+,18.6,18.6,18.6,18.6,18.6,17.34,17.34,17.34,17.34,17.34,18.6,18.6,17.99,11.47,11.43,4.52,11.21,15.65,18.3
5,3-4,17.38,17.38,17.38,17.38,17.38,16.17,16.17,16.17,16.17,16.17,17.38,17.38,16.91,10.86,10.82,4.3,10.65,14.52,16.12
6,5-9,12.13,12.13,12.13,12.13,12.13,11.6,11.6,11.6,11.6,11.6,12.13,12.13,11.69,7.78,7.69,3.0,7.39,9.87,11.47
