,q4,age,gender,q3,q6,q7,q8,q9,q10,q14,q20,q21,q22,q24,q32,q34,q35,q39,q41,continente
0,Bachelor’s degree,38.81,38.81,38.81,38.81,35.98,35.98,35.98,35.9,34.94,36.64,36.29,35.81,34.07,20.08,19.99,7.52,19.25,28.64,36.64
1,Doctoral degree,5.22,5.22,5.22,5.22,5.0,5.0,5.0,4.95,4.91,4.87,4.87,4.87,4.78,2.74,2.69,0.52,2.65,3.95,4.87
2,I prefer not to answer,2.43,2.43,2.43,2.43,2.39,2.39,2.39,2.39,2.26,2.26,2.22,2.13,2.04,0.83,0.83,0.17,0.78,1.48,2.3
3,Master’s degree,44.63,44.63,44.63,44.63,42.29,42.29,42.2,42.11,41.55,42.81,42.55,42.29,41.03,25.34,25.16,9.73,24.77,35.94,42.2
4,No formal education past high school,1.61,1.61,1.61,1.61,1.39,1.39,1.39,1.39,1.39,1.52,1.48,1.43,1.43,0.78,0.78,0.04,0.78,1.22,1.39
5,Professional doctorate,1.04,1.04,1.04,1.04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.7,0.17,0.7,0.83,0.91
6,Some college/university study without earning a bachelor’s degree,6.26,6.26,6.26,6.26,5.74,5.69,5.69,5.69,5.56,5.95,5.95,5.95,5.78,3.39,3.39,1.09,3.3,4.78,5.82
