,continente,age,gender,q3,q4,q6,q7,q8,q9,q10,q14,q20,q21,q22,q24,q32,q34,q35,q39,q41
0,América del Norte,12.78,12.78,12.78,12.78,12.78,12.08,12.04,12.04,11.99,11.73,12.08,11.99,11.95,11.56,7.61,7.56,2.61,7.39,9.95
1,América del Sur,7.87,7.87,7.87,7.87,7.87,7.56,7.56,7.56,7.56,7.52,7.74,7.74,7.69,7.48,4.52,4.52,1.65,4.39,6.56
2,Asia,47.02,47.02,47.02,47.02,47.02,43.72,43.72,43.63,43.55,42.59,44.59,44.11,43.63,41.85,24.86,24.68,8.82,24.12,34.94
3,Europa,11.99,11.99,11.99,11.99,11.99,11.6,11.6,11.6,11.56,11.39,11.52,11.43,11.26,10.86,5.95,5.95,2.0,5.78,9.47
4,NS/NC,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.17,0.17,0.17,0.17,0.09,0.09,0.0,0.09,0.09
5,Oceanía,1.65,1.65,1.65,1.65,1.65,1.61,1.61,1.61,1.61,1.61,1.61,1.56,1.52,1.52,0.87,0.87,0.26,0.87,1.39
6,África,12.6,12.6,12.6,12.6,12.6,11.39,11.39,11.39,11.34,11.0,11.65,11.65,11.6,11.21,6.74,6.69,2.78,6.61,9.73
