,q6,age,gender,q3,q4,q7,q8,q9,q10,q14,q20,q21,q22,q24,q32,q34,q35,q39,q41,continente
0,1-3 years,32.55,32.55,32.55,32.55,32.55,32.55,32.51,32.42,31.81,30.68,30.6,30.25,29.2,17.73,17.56,7.65,17.25,25.47,30.86
1,10-20 years,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.17,6.04,6.04,6.04,5.78,4.17,4.17,1.61,4.04,5.26,5.91
2,20+ years,3.35,3.35,3.35,3.35,3.35,3.3,3.3,3.3,3.26,3.09,3.09,3.09,3.04,2.13,2.13,0.65,2.09,2.82,3.22
3,3-5 years,16.12,16.12,16.12,16.12,16.12,16.12,16.08,15.99,15.78,15.43,15.3,15.21,14.52,9.87,9.82,3.09,9.69,13.39,15.17
4,5-10 years,9.08,9.08,9.08,9.08,9.08,9.08,9.08,9.08,9.0,8.87,8.78,8.74,8.52,5.95,5.95,2.3,5.74,7.26,8.21
5,< 1 years,26.42,26.42,26.42,26.42,26.42,26.42,26.42,26.38,25.6,24.73,24.34,23.95,22.86,13.99,13.91,3.95,13.43,18.69,24.82
6,I have never written code,6.21,6.21,6.21,6.21,0.0,0.0,0.0,0.0,0.0,6.21,6.21,6.21,6.21,0.0,0.0,0.0,0.0,3.95,5.95
