continente,0,1-2,10-14,15-19,20+,3-4,5-9,All
América del Norte,0.01,0.03,0.01,0.0,0.04,0.02,0.02,0.14
América del Sur,0.01,0.02,0.01,0.0,0.02,0.02,0.01,0.09
Asia,0.08,0.11,0.04,0.01,0.1,0.09,0.07,0.5
Europa,0.02,0.04,0.01,0.0,0.03,0.02,0.02,0.13
NS/NC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceanía,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.02
África,0.03,0.03,0.01,0.0,0.01,0.03,0.02,0.13
All,0.15,0.23,0.07,0.02,0.21,0.18,0.13,1.0
