continente,0-49 employees,"10,000 or more employees","1000-9,999 employees",250-999 employees,50-249 employees,All
América del Norte,0.02,0.04,0.03,0.02,0.02,0.14
América del Sur,0.02,0.01,0.02,0.01,0.02,0.09
Asia,0.16,0.11,0.08,0.07,0.08,0.5
Europa,0.03,0.03,0.03,0.02,0.02,0.13
NS/NC,0.0,0.0,0.0,0.0,0.0,0.0
Oceanía,0.0,0.0,0.0,0.0,0.0,0.02
África,0.06,0.01,0.02,0.02,0.02,0.13
All,0.3,0.21,0.19,0.14,0.16,1.0
