gender,Bachelor’s degree,Doctoral degree,I prefer not to answer,Master’s degree,No formal education past high school,Professional doctorate,Some college/university study without earning a bachelor’s degree,All
Man,31.12,3.74,1.35,33.12,1.26,0.61,5.26,76.45
Nonbinary,0.04,0.0,0.0,0.09,0.0,0.0,0.09,0.22
Prefer not to say,0.13,0.13,0.3,0.39,0.09,0.04,0.13,1.22
Prefer to self-describe,0.09,0.0,0.0,0.09,0.0,0.0,0.0,0.17
Woman,7.43,1.35,0.78,10.95,0.26,0.39,0.78,21.95
All,38.81,5.22,2.43,44.63,1.61,1.04,6.26,100.0
