gender,América del Norte,América del Sur,Asia,Europa,NS/NC,Oceanía,África,All
Man,0.09,0.07,0.38,0.1,0.0,0.02,0.11,0.77
Nonbinary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prefer not to say,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01
Prefer to self-describe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woman,0.04,0.01,0.11,0.03,0.0,0.0,0.02,0.22
All,0.14,0.08,0.5,0.13,0.0,0.02,0.13,1.0
