gender,1-3 years,10-20 years,20+ years,3-5 years,5-10 years,< 1 years,I have never written code,All
Man,25.6,4.82,2.61,12.78,6.87,19.38,4.39,76.45
Nonbinary,0.0,0.04,0.0,0.04,0.0,0.13,0.0,0.22
Prefer not to say,0.3,0.22,0.09,0.26,0.04,0.26,0.04,1.22
Prefer to self-describe,0.04,0.04,0.0,0.04,0.0,0.0,0.04,0.17
Woman,6.61,1.13,0.65,3.0,2.17,6.65,1.74,21.95
All,32.55,6.26,3.35,16.12,9.08,26.42,6.21,100.0
