q4,1-3 years,10-20 years,20+ years,3-5 years,5-10 years,< 1 years,I have never written code,All
Bachelor’s degree,14.34,1.74,0.48,5.48,2.56,11.39,2.82,38.81
Doctoral degree,0.96,1.0,0.48,1.26,0.74,0.56,0.22,5.22
I prefer not to answer,0.96,0.17,0.0,0.22,0.0,1.04,0.04,2.43
Master’s degree,14.25,2.78,1.78,8.04,5.13,10.3,2.35,44.63
No formal education past high school,0.17,0.09,0.17,0.35,0.13,0.48,0.22,1.61
Professional doctorate,0.17,0.13,0.09,0.09,0.22,0.3,0.04,1.04
Some college/university study without earning a bachelor’s degree,1.69,0.35,0.35,0.7,0.3,2.35,0.52,6.26
All,32.55,6.26,3.35,16.12,9.08,26.42,6.21,100.0
