age,Man,Nonbinary,Prefer not to say,Prefer to self-describe,Woman,All
18-21,0.06,0.0,0.0,0.0,0.02,0.08
22-24,0.13,0.0,0.0,0.0,0.05,0.18
25-29,0.19,0.0,0.0,0.0,0.06,0.26
30-34,0.15,0.0,0.0,0.0,0.04,0.18
35-39,0.1,0.0,0.0,0.0,0.02,0.12
40-44,0.05,0.0,0.0,0.0,0.01,0.07
45-49,0.04,0.0,0.0,0.0,0.01,0.05
50-54,0.02,0.0,0.0,0.0,0.01,0.03
55-59,0.01,0.0,0.0,0.0,0.0,0.01
60-69,0.01,0.0,0.0,0.0,0.0,0.01
70+,0.0,0.0,0.0,0.0,0.0,0.0
All,0.76,0.0,0.01,0.0,0.22,1.0
