q4,0,1-2,10-14,15-19,20+,3-4,5-9,All
Bachelor’s degree,5.95,9.11,2.74,0.7,7.72,7.21,4.88,38.31
Doctoral degree,0.74,1.21,0.37,0.14,0.88,0.98,0.88,5.21
I prefer not to answer,0.46,0.65,0.19,0.0,0.19,0.56,0.23,2.28
Master’s degree,5.76,11.02,3.02,1.21,9.76,8.23,6.23,45.23
No formal education past high school,0.56,0.28,0.0,0.05,0.14,0.23,0.28,1.53
Professional doctorate,0.09,0.37,0.0,0.0,0.33,0.23,0.05,1.07
Some college/university study without earning a bachelor’s degree,1.67,1.63,0.42,0.19,0.88,1.16,0.42,6.37
All,15.25,24.27,6.74,2.28,19.9,18.6,12.97,100.0
