gender,0-49 employees,"10,000 or more employees","1000-9,999 employees",250-999 employees,50-249 employees,All
Man,23.31,15.52,14.42,10.96,12.34,76.55
Nonbinary,0.0,0.05,0.14,0.05,0.0,0.23
Prefer not to say,0.41,0.18,0.28,0.18,0.09,1.15
Prefer to self-describe,0.05,0.09,0.05,0.0,0.0,0.18
Woman,6.82,4.56,4.01,2.9,3.59,21.88
All,30.58,20.41,18.89,14.09,16.03,100.0
