q4,0-49 employees,"10,000 or more employees","1000-9,999 employees",250-999 employees,50-249 employees,All
Bachelor’s degree,13.04,7.88,7.05,4.47,6.03,38.46
Doctoral degree,1.57,0.97,1.01,0.88,0.74,5.16
I prefer not to answer,1.15,0.05,0.32,0.37,0.46,2.35
Master’s degree,11.38,10.27,8.94,7.14,7.37,45.09
No formal education past high school,0.69,0.05,0.41,0.23,0.18,1.57
Professional doctorate,0.32,0.28,0.14,0.23,0.09,1.06
Some college/university study without earning a bachelor’s degree,2.44,0.92,1.01,0.78,1.15,6.31
All,30.58,20.41,18.89,14.09,16.03,100.0
