gender,0,1-2,10-14,15-19,20+,3-4,5-9,All
Man,11.95,18.92,5.35,1.39,14.97,14.41,9.76,76.75
Nonbinary,0.0,0.05,0.0,0.0,0.09,0.05,0.05,0.23
Prefer not to say,0.42,0.14,0.09,0.0,0.23,0.05,0.23,1.16
Prefer to self-describe,0.0,0.09,0.0,0.0,0.09,0.0,0.0,0.19
Woman,2.88,5.07,1.3,0.88,4.51,4.09,2.93,21.66
All,15.25,24.27,6.74,2.28,19.9,18.6,12.97,100.0
